rel,way,tags,region
3388431,252607760,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Moorsel', 'old_ref:INS': '41042', 'ref:INS': '41002E', 'type': 'boundary', 'wikidata': 'Q836859', 'wikipedia': 'nl:Moorsel (Oost-Vlaanderen)'}",Moorsel
3388432,252607749,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Nieuwerkerken', 'old_ref:INS': '41047', 'ref:INS': '41002J', 'type': 'boundary', 'wikidata': 'Q842753', 'wikipedia': 'nl:Nieuwerkerken (Oost-Vlaanderen)'}",Nieuwerkerken
3388432,84695812,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Nieuwerkerken', 'old_ref:INS': '41047', 'ref:INS': '41002J', 'type': 'boundary', 'wikidata': 'Q842753', 'wikipedia': 'nl:Nieuwerkerken (Oost-Vlaanderen)'}",Nieuwerkerken
3388432,550166756,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Nieuwerkerken', 'old_ref:INS': '41047', 'ref:INS': '41002J', 'type': 'boundary', 'wikidata': 'Q842753', 'wikipedia': 'nl:Nieuwerkerken (Oost-Vlaanderen)'}",Nieuwerkerken
3388432,677013805,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Nieuwerkerken', 'old_ref:INS': '41047', 'ref:INS': '41002J', 'type': 'boundary', 'wikidata': 'Q842753', 'wikipedia': 'nl:Nieuwerkerken (Oost-Vlaanderen)'}",Nieuwerkerken
3388432,252607772,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Nieuwerkerken', 'old_ref:INS': '41047', 'ref:INS': '41002J', 'type': 'boundary', 'wikidata': 'Q842753', 'wikipedia': 'nl:Nieuwerkerken (Oost-Vlaanderen)'}",Nieuwerkerken
3388432,252607728,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Nieuwerkerken', 'old_ref:INS': '41047', 'ref:INS': '41002J', 'type': 'boundary', 'wikidata': 'Q842753', 'wikipedia': 'nl:Nieuwerkerken (Oost-Vlaanderen)'}",Nieuwerkerken
3388568,252621941,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Sint-Lenaarts', 'old_ref:INS': '11043', 'ref:INS': '11009B', 'type': 'boundary', 'wikidata': 'Q2340437', 'wikipedia': 'nl:Sint-Lenaarts'}",Sint-Lenaarts
3388568,85706639,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Sint-Lenaarts', 'old_ref:INS': '11043', 'ref:INS': '11009B', 'type': 'boundary', 'wikidata': 'Q2340437', 'wikipedia': 'nl:Sint-Lenaarts'}",Sint-Lenaarts
3388568,85706642,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Sint-Lenaarts', 'old_ref:INS': '11043', 'ref:INS': '11009B', 'type': 'boundary', 'wikidata': 'Q2340437', 'wikipedia': 'nl:Sint-Lenaarts'}",Sint-Lenaarts
